no,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,place,teamname,lat,lon,EASTorWEST,rank,abb,winrate
4,Golden State Warriors,West,P,53,29,0.646,5.54,113.33,107.68,5.65,5.52,113.24,107.62,5.62,Golden State city,Warriors,37.47,-121.13,West,1,GSW,0.646341463
10,Toronto Raptors,East,A,48,34,0.585,2.29,113.93,111.55,2.38,2.37,113.86,111.4,2.46,Toronto,Raptors,44.391,-80.53,East,1,TOR,0.585365854
5,Memphis Grizzlies,West,SW,56,26,0.683,5.68,115.5,109.94,5.56,5.37,115.38,110.14,5.24,Memphis city,Grizzlies,35.749681,-89.04892,West,2,MEM,0.682926829
24,Washington Wizards,East,SE,35,47,0.427,-3.38,111.72,115.33,-3.61,-3.23,111.79,115.23,-3.43,DC,Wizards,38.93,-76.518999,East,2,WAS,0.426829268
14,Atlanta Hawks,East,SE,43,39,0.524,1.56,117.29,115.71,1.58,1.55,117.42,115.84,1.58,Atlanta Botanical city,Hawks,33.46,-84.25,East,3,ATL,0.524390244
29,Houston Rockets,West,SW,20,62,0.244,-8.48,109.28,117.77,-8.49,-8.26,109.47,117.75,-8.28,Houston city,Rocket,30.46,-95.23,West,3,HOU,0.243902439
20,Chicago Bulls,East,C,46,36,0.561,-0.39,114.07,114.55,-0.48,-0.37,114.13,114.58,-0.45,Chicago city,Bulls,41.51,-88.79,East,4,CHI,0.56097561
30,Portland Trail Blazers,West,NW,27,55,0.329,-8.88,108.8,117.93,-9.13,-8.55,109.03,117.84,-8.81,Portland city,TrailBlazers,44.52186,-122.882594,West,4,POR,0.329268293
13,Cleveland Cavaliers,East,C,44,38,0.537,2.12,112.92,110.79,2.13,2.04,112.66,110.62,2.05,Cleveland city,Cavaliers,40.640475,-82.582569,East,5,CLE,0.536585366
18,Los Angeles Clippers,West,P,42,40,0.512,0.02,110.86,110.92,-0.06,0.09,110.85,110.85,0,Los Angeles city,Clippers,34.55349,-117.245323,West,5,LAC,0.512195122
7,Dallas Mavericks,West,SW,52,30,0.634,3.3,113.82,110.27,3.55,3.12,113.76,110.41,3.35,Dallas city,Mavericks,32.7801399,-96.8004511,West,6,DAL,0.634146341
8,Milwaukee Bucks,East,C,51,31,0.622,3.35,115.86,112.56,3.31,3.22,115.86,112.67,3.18,Milwaukee city,Bucks,43.241809,-88.906837,East,6,MIL,0.62195122
6,Miami Heat,East,SE,53,29,0.646,4.45,114.83,110.21,4.62,4.23,114.61,110.21,4.4,Miami city,Heat,26.4889689,-81.2264393,East,7,MIA,0.646341463
19,San Antonio Spurs,West,SW,34,48,0.415,0.12,113.04,113,0.03,0.02,113.09,113.16,-0.07,San Antonio city,Spurs,29.4241219,-98.4936282,West,7,SAS,0.414634146
15,Brooklyn Nets,East,A,44,38,0.537,0.78,114.69,113.93,0.76,0.82,114.84,114.03,0.81,Brooklyn,Nets,41.23,-74.71,East,8,BKN,0.536585366
21,New Orleans Pelicans,West,SW,36,46,0.439,-0.99,112.84,113.82,-0.98,-0.84,112.93,113.77,-0.84,New Orleans,Pelicans,30.1,-91.2,West,8,NOP,0.43902439
27,Orlando Magic,East,SE,22,60,0.268,-8,105.25,113.25,-8,-7.67,105.16,112.82,-7.66,Orlando city,Magic,28.33,-81.2,East,9,ORL,0.268292683
